"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"A4GALT",299,266,326,226,194,240
"AAAS",1130,855,875,639,630,755
"AACS",1756,1286,1393,981,895,1108
"AADAT",54,49,59,51,71,79
"AAGAB",1037,777,874,584,634,691
"AAK1",516,455,538.07,344.25,346.13,442
"AAMDC",205.45,153.36,193.25,105.86,115.57,109.43
"AAMP",1356,858,982,700,622,747
"AANAT",2,2,3,2,2.1,0
"AAR2",1098,837,841,583,580,661
"AARS1",5946,4436,4686,2939,2803,3296
"AARS2",811.9,557.95,563.96,437.77,415.96,516
"AARSD1",367.43,279.79,286.36,208.63,220.71,233.59
"AASDH",112.96,100,112.96,66.87,87.9,78.84
"AASDHPPT",537,441,468,353,386,448.9
"AASS",7,6,10,1,2,4
"AATF",1846,1352,1631,1053,1016,1162
"AATK",2326.51,2218.32,2569.99,1932.83,1521.29,1970.95
"ABCA1",11,15,13,4,8,9
"ABCA10",4,4,5,2,2,1
"ABCA12",1,4,4,0,1,0
"ABCA13",135,203,231,361,335,496
"ABCA2",7975,5922,6898,4268,3452,4981
"ABCA3",49,44,42,320,277,380
"ABCA4",48,43,47,29,25,29
"ABCA5",279,263,314,273,272,320
"ABCA6",4,3,3,2,2,0
"ABCA7",1121,753,892,658,517,733
"ABCA8",2,1,2,3,3,4
"ABCB1",44,33,64,18,9,19
"ABCB10",863,690,801,285,276,366
"ABCB5",0,1,4,3,4,3
"ABCB6",1135.38,825.48,934.01,660.83,584.78,727.78
"ABCB7",829,748,821,525,589,668
"ABCB8",1360,855,981,825,783.37,995
"ABCB9",322,235.65,200.58,173.29,140,188.98
"ABCC1",2401,1771,2199,1610,1482,1968
"ABCC10",385,245,286,240,211,279
"ABCC2",3024,2387,2685,1394,1285,1717
"ABCC3",1656,1124,1374,678,642,869
"ABCC4",1034.08,910.54,957.12,468.57,477.25,647.3
"ABCC5",1156,1000,1106,1037,829,1187
"ABCC6",86.61,65.85,67.22,73.28,63.64,72.54
