"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"A4GALT",3.54349588342577,3.73335434061383,3.73443866613717,3.77820857639809,3.61941301059794,3.62175885670973
"AAAS",5.62614706360372,5.56803210477128,5.36176835941915,5.44956137461324,5.46532151358055,5.47443604325227
"AACS",5.4178525148859,5.33091687811462,5.19219416528334,5.26040209302579,5.14852742516046,5.19731499947382
"AADAT",1.52105073690096,1.75274859140713,1.65992455840238,1.90689059560852,2.31324585178756,2.24184018356467
"AAGAB",5.51506901403224,5.60139939053183,5.43829285157915,5.39128655811118,5.46956042171122,5.36387192485753
"AAK1",2.42223300068305,2.41142624572647,2.74416109557041,2.43562859405209,2.54101915313356,2.66220549965362
"AAMDC",5.06910063192283,4.92504996472736,5.13298804262744,4.78555055173926,4.94485844580754,4.67185946824748
"AAMP",5.96347412397489,5.66618848987278,5.61028665708102,5.67355642399014,5.52919626799939,5.55213110825378
"AANAT",0.238786859587116,0.298658315564515,0.250961573533219,0.189033824390017,0.356143810225275,0
"AAR2",5.14567745519564,5.13257684267001,4.87381319835909,4.92789645372882,4.92504996472736,4.86195536414487
"AARS1",7.04886827268732,6.9902741833186,6.81544734300633,6.70182625841205,6.65563804923464,6.64645070648318
"AARS2",3.97636363573276,3.79389588254888,3.53231695933277,3.69932952567316,3.73876783680019,3.76128527336162
"AARSD1",4.58856473740135,4.57833494868161,4.36667191611176,4.43362716708478,4.54225804976692,4.39163026151743
"AASDH",1.78240856492737,1.9297909977186,1.89530262133331,1.71369581484336,2.1407786557828,1.8073549220576
"AASDHPPT",4.01435529297707,4.08831123588866,3.92314918047231,4.0686708106651,4.20554891117303,4.18507363787676
"AASS",0.176322772640463,0.22650852980868,0.356143810225275,0.0976107966264223,0.0976107966264223,0.137503523749935
"AATF",6.1586601753465,6.06458110919057,6.07873790918186,6.01145091173575,5.98322165074267,5.91981677005279
"AATK",4.76234881564413,4.99140846676479,4.86888427302877,5.30341546268562,4.96993327469786,5.10139795218253
"ABCA1",0.124328135002202,0.189033824390017,0.137503523749935,0.070389327891398,0.124328135002202,0.124328135002202
"ABCA10",0.070389327891398,0.0840642647884745,0.0976107966264223,0.0565835283663675,0.0565835283663675,0.0285691521967709
"ABCA12",0.0143552929770701,0.070389327891398,0.0426443374084937,0,0.0285691521967709,0
"ABCA13",0.659924558402378,1.07724299893246,1.04264433740849,1.790772037862,1.72683121703249,1.95977015521147
"ABCA2",6.20554891117303,6.14302600388997,6.10747864662662,5.98093926608551,5.6979405826171,5.97773784924282
"ABCA3",1.40053792958373,1.70043971814109,1.23878685958712,3.56559717585422,3.3533232911629,3.56315813040281
"ABCA4",0.575312330687437,0.641546029087524,0.594548549550354,0.55581615506164,0.495695162624069,0.485426827170242
"ABCA5",2.19219416528334,2.44890095114513,2.48026512205446,2.73984810269933,2.72683121703249,2.71149490665009
"ABCA6",0.070389327891398,0.0565835283663675,0.070389327891398,0.0976107966264223,0.070389327891398,0
"ABCA7",3.72574115650395,3.53356334821451,3.52356195605701,3.63575439127776,3.33771109212829,3.57410150808939
"ABCA8",0.0426443374084937,0.0426443374084937,0.0565835283663675,0.0840642647884745,0.0840642647884745,0.111031312388744
"ABCB1",0.855989697308481,0.815575428862573,1.16992500144231,0.604071323668861,0.344828496997441,0.526068811667588
