"","E250098172_L01_ZHW-C1","E250098172_L01_ZHW-C2","E250098172_L01_ZHW-C3","E250098172_L01_ZHW-K1","E250098172_L01_ZHW-K2","E250098172_L01_ZHW-K3"
"A4GALT",10.66,12.3,12.31,12.72,11.29,11.31
"AAAS",48.39,46.44,40.12,42.7,43.18,43.46
"AACS",41.75,39.25,35.56,37.33,34.47,35.69
"AADAT",1.87,2.37,2.16,2.75,3.97,3.73
"AAGAB",44.73,47.55,42.36,40.97,43.31,40.18
"AAK1",4.36,4.32,5.7,4.41,4.82,5.33
"AAMDC",32.57,29.38,34.09,26.58,29.8,24.49
"AAMP",61.4,49.78,47.85,50.04,45.18,45.92
"AANAT",0.18,0.23,0.19,0.14,0.28,0
"AAR2",34.4,34.08,28.32,29.44,29.38,28.08
"AARS1",131.41,126.14,111.63,103.1,99.82,99.18
"AARS2",14.74,12.87,10.57,11.99,12.35,12.56
"AARSD1",23.06,22.89,19.63,20.61,22.3,19.99
"AASDH",2.44,2.81,2.72,2.28,3.41,2.5
"AASDHPPT",15.16,16.01,14.17,15.78,17.45,17.19
"AASS",0.13,0.17,0.28,0.07,0.07,0.1
"AATF",70.44,65.93,66.59,63.51,62.26,59.54
"AATK",26.14,30.81,28.22,38.49,30.34,33.33
"ABCA1",0.09,0.14,0.1,0.05,0.09,0.09
"ABCA10",0.05,0.06,0.07,0.04,0.04,0.02
"ABCA12",0.01,0.05,0.03,0,0.02,0
"ABCA13",0.58,1.11,1.06,2.46,2.31,2.89
"ABCA2",72.8,69.67,67.95,62.16,50.91,62.02
"ABCA3",1.64,2.25,1.36,10.84,9.22,10.82
"ABCA4",0.49,0.56,0.51,0.47,0.41,0.4
"ABCA5",3.57,4.46,4.58,5.68,5.62,5.55
"ABCA6",0.05,0.04,0.05,0.07,0.05,0
"ABCA7",12.23,10.58,10.5,11.43,9.11,10.91
"ABCA8",0.03,0.03,0.04,0.06,0.06,0.08
"ABCB1",0.81,0.76,1.25,0.52,0.27,0.44
"ABCB10",16.87,17.33,16.87,8.85,8.7,9.74
"ABCB5",0,0.02,0.09,0.08,0.09,0.06
"ABCB6",29.44,27.44,26.03,27.11,24.45,25.51
"ABCB7",27.56,31.91,29.15,27.19,31.43,29.52
"ABCB8",44.05,34.78,33.83,44.83,42.34,45.41
"ABCB9",7.15,7.13,4.8,6.3,5.03,5.92
"ABCC1",27.52,26.3,27.31,29.59,27.62,30.96
"ABCC10",5.79,4.72,4.65,5.76,5.14,5.72
"ABCC2",39.43,39.86,37.43,28.88,27.8,30.59
"ABCC3",28.42,26,25.53,19.76,19.72,21.6
"ABCC4",13.7,15.94,13.72,10.22,10.17,11.73
"ABCC5",18.94,21.39,19.33,27.43,22.51,27.2
"ABCC6",2.74,2.22,2.13,4.5,3.61,2.37
"ABCD1",40.96,35,32.48,30.91,27.28,30.35
"ABCD3",30.63,37.03,34.19,31.37,29.66,31.68
"ABCD4",10.33,8.37,7.98,15.26,13.65,14.62
"ABCE1",49.15,48.14,49.6,52.45,54.47,54.92
"ABCF1",59.14,58.26,53.56,55.17,56.44,55.48
"ABCF2",79,73.03,66.64,71.59,72.79,72.87
"ABCF2-H2BK1",0.58,1.17,1.2,0,0.81,0
"ABCF3",38.76,34.9,29.65,30,30.06,29
"ABCG1",1.58,1.06,1.32,1.58,1.21,1.09
"ABCG2",0.32,0.24,0.17,0.06,0.06,0.05
"ABCG8",0.03,0.04,0.01,0.02,0.03,0
"ABHD10",35.44,35.33,31.07,32.21,29.89,31.6
"ABHD11",16.15,16.15,15.91,16.17,14.31,14.17
"ABHD12",55.53,56.53,55.82,39.77,39.77,39.96
"ABHD13",7.38,7.88,7.73,8.4,9.49,8.91
"ABHD14A",24.29,20.98,19.45,21.4,20.07,20.23
"ABHD14B",109.95,113.83,101.06,87.26,78.69,81.07
"ABHD15",14.44,13.54,12.31,14.68,13.52,14.97
"ABHD16A",36.52,32.91,29.27,32.63,33.72,30.72
"ABHD16B",2.31,0.05,0.09,1.01,0,1.22
"ABHD17A",42.03,37.69,31.8,38.92,35.75,35.99
"ABHD17B",8.87,8,8.04,8.88,10.34,11.52
"ABHD17C",38.66,35.28,34.17,17.89,14.41,20.07
"ABHD18",6.78,6.79,6.68,6.47,6.77,7.35
"ABHD2",19.1,17.63,19.61,18.66,15.45,18.42
"ABHD3",27.07,25.38,24.44,27.29,29.93,26.06
"ABHD4",56.99,70.32,58.13,61.81,66.85,69.66
"ABHD5",16.88,19.33,16.93,13.48,13.59,15.13
"ABHD6",7.73,7.04,5.37,6.6,5.28,5.45
"ABHD8",18.26,17.89,16.75,12.18,12.3,12.27
"ABI1",41.36,46.89,45.92,39.17,46.42,44.16
"ABI2",27.91,28.58,26.14,35.18,31.72,32.63
"ABITRAM",21.18,20.2,19.91,19.23,17.57,18.53
"ABL1",83.47,73.98,69.61,56.49,49.68,55
"ABL2",13.73,12.26,11.63,7.85,6.9,9.09
"ABLIM1",41.35,47.74,47.95,49.32,45.73,55.3
"ABLIM2",7.97,8.21,7.79,8.17,7.65,8.72
"ABLIM3",2.44,1.93,1.57,1.05,1.26,0.97
"ABR",41.39,35.12,32.18,36.12,29.65,34.81
"ABRACL",11.4,11.04,9.81,23.11,22.48,18.46
"ABRAXAS1",6.32,7.57,7.24,8.46,7.63,7.96
"ABRAXAS2",7.94,7.79,7.59,8.41,8.18,8.38
"ABT1",27.29,23.85,23.06,23.11,21.63,22.73
"ABTB1",30.34,24.8,22.71,22.91,20.43,21.94
"ABTB2",9.79,9.55,8.24,10.46,9.92,10.23
"ACAA1",22.99,17.42,17.21,20.46,19.01,21.02
"ACAA2",102,104.52,97.92,93.2,98.48,89.32
"ACACA",20.36,23.07,21.43,25.79,25.6,26.19
"ACACB",6.51,7,5.22,6,4.89,5.77
"ACAD10",7.57,8.18,7.61,6.46,5.97,6.65
"ACAD11",8.07,7.81,7.08,7.54,7.65,7.76
"ACAD8",20.54,18.86,16.76,22.45,20.81,19.83
"ACAD9",56.6,53.45,50.44,58.96,55.18,56.7
