PG.ProteinAccessions	PG.Genes	PG.ProteinDescriptions	PG.ProteinNames	[1] ZHW_20260422_D1.raw.PG.Quantity	[2] ZHW_20260422_D2.raw.PG.Quantity	[3] ZHW_20260422_D3.raw.PG.Quantity	[4] ZHW_20260422_Q1.raw.PG.Quantity	[5] ZHW_20260422_Q2.raw.PG.Quantity	[6] ZHW_20260422_Q3.raw.PG.Quantity	[7] ZHW_20260422_S1.raw.PG.Quantity	[8] ZHW_20260422_S2.raw.PG.Quantity	[9] ZHW_20260422_S3.raw.PG.Quantity	[10] ZHW_20260422_P1.raw.PG.Quantity	[11] ZHW_20260422_P2.raw.PG.Quantity	[12] ZHW_20260422_P3.raw.PG.Quantity	[13] ZHW_20260422_W1.raw.PG.Quantity	[14] ZHW_20260422_W2.raw.PG.Quantity	[15] ZHW_20260422_W3.raw.PG.Quantity	[16] ZHW_20260422_N1.raw.PG.Quantity	[17] ZHW_20260422_N2.raw.PG.Quantity	[18] ZHW_20260422_N3.raw.PG.Quantity
A0A024RBG1	NUDT4B	Diphosphoinositol polyphosphate phosphohydrolase NUDT4B	NUD4B_HUMAN	NaN	463.54486083984375	428.210693359375	NaN	NaN	NaN	563.1328735351562	979.710693359375	NaN	NaN	568.6207275390625	NaN	NaN	273.3574523925781	NaN	NaN	NaN	NaN
A0A075B6H7;A0A0C4DH55;P01624	IGKV3-7;IGKV3D-7;IGKV3-15	Probable non-functional immunoglobulin kappa variable 3-7;Immunoglobulin kappa variable 3D-7;Immunoglobulin kappa variable 3-15	KV37_HUMAN;KVD07_HUMAN;KV315_HUMAN	NaN	NaN	NaN	NaN	NaN	130.17056274414062	NaN	NaN	NaN	235.77816772460938	NaN	NaN	205.18887329101562	954.8460693359375	448.586669921875	148.4080047607422	544.647705078125	378.0268249511719
A0A075B6S2;A0A0A0MRZ7;A2NJV5	IGKV2D-29;IGKV2D-26;IGKV2-29	Immunoglobulin kappa variable 2D-29;Immunoglobulin kappa variable 2D-26;Immunoglobulin kappa variable 2-29	KVD29_HUMAN;KVD26_HUMAN;KV229_HUMAN	263.9656677246094	106.04841613769531	356.4408874511719	NaN	NaN	1173.6190185546875	NaN	NaN	NaN	210.41983032226562	1437.3555908203125	79.32881927490234	NaN	11575.64453125	411.1523742675781	68.77436065673828	1344.3123779296875	23854.69921875
A0A0A0MRZ8;P04433	IGKV3D-11;IGKV3-11	Immunoglobulin kappa variable 3D-11;Immunoglobulin kappa variable 3-11	KVD11_HUMAN;KV311_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	173.8809356689453	NaN	NaN	43.840511322021484	169.43499755859375	82.76708221435547	NaN	211.98902893066406	218.41262817382812
A0A1W2PR82	PERCC1	Protein PERCC1	PERC1_HUMAN	2788.28759765625	NaN	3194.998779296875	579.1669311523438	2639.1728515625	1602.6099853515625	3206.111328125	5684.8330078125	6042.68115234375	1373.5931396484375	2027.7833251953125	937.9850463867188	1191.9564208984375	1668.2493896484375	NaN	NaN	NaN	NaN
A0AV96	RBM47	RNA-binding protein 47	RBM47_HUMAN	456.0450134277344	175.7025146484375	348.36767578125	NaN	228.86898803710938	75.49345397949219	447.500244140625	746.6778564453125	1065.7247314453125	38.433231353759766	220.0288848876953	50.87677764892578	106.0221176147461	155.1862030029297	89.24079132080078	NaN	47.95940017700195	NaN
A0AVF1	IFT56	Intraflagellar transport protein 56	IFT56_HUMAN	209.37892150878906	NaN	365.4679870605469	32.61986541748047	151.48780822753906	NaN	299.81109619140625	86.22315979003906	189.5379180908203	64.69833374023438	282.9853820800781	109.45423889160156	116.49312591552734	NaN	NaN	11.32314682006836	40.60150909423828	NaN
A0AVT1	UBA6	Ubiquitin-like modifier-activating enzyme 6	UBA6_HUMAN	3254.97509765625	1813.064208984375	3451.380859375	175.8875732421875	572.1761474609375	752.062255859375	3758.9208984375	6068.73974609375	8627.58984375	207.27749633789062	816.24365234375	257.33856201171875	381.6564636230469	546.7169189453125	305.31402587890625	42.50756072998047	143.50885009765625	46.765419006347656
A0FGR8	ESYT2	Extended synaptotagmin-2	ESYT2_HUMAN	15934.4716796875	9559.181640625	12622.9716796875	2797.929443359375	9558.8115234375	4809.234375	20602.53515625	22271.125	38351.5390625	5395.32421875	12537.357421875	5682.0439453125	7344.0751953125	18942.5390625	7721.23779296875	513.4224853515625	2120.395263671875	352.78289794921875
A0JNW5	BLTP3B	Bridge-like lipid transfer protein family member 3B	BLT3B_HUMAN	1282.3104248046875	627.1317749023438	1048.527099609375	300.64337158203125	666.8509521484375	411.2568359375	1507.530517578125	1240.5970458984375	2164.45751953125	222.12901306152344	1148.1031494140625	234.34506225585938	250.93226623535156	874.828369140625	421.3578186035156	NaN	135.8135528564453	NaN
